Data,Ativo,Nome,Período,Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2017-04-01,PORD11,FII POLO CRI,"Fevereiro/2017
			        
			        	0,0000
0,00%
6,11%
6,11%
15,18%
2,04%
1,02%
1,26%
1,15%
1,15%
1,15%
R$ 106.498.537,76
R$ 106,50
0,97
0,00%
0,84%
0,84%
0,84%


0","0,0000","0,00%","6,11%","6,11%","15,18%","2,04%","1,02%","1,26%","1,15%","1,15%","1,15%","R$ 106.498.537,76","R$ 106,50","0,97","0,00%","0,84%","0,84%","0,84%",,,0
2017-04-01,TRXL11,FII TRX LOG,"Abril/2017
			        
			        	0,2445










R$ 149.381.449,18
R$ 90,57
0,74
0,30%
-0,23%
0,08%
1,10%
53,00%
50,10%
6","0,2445",,,,,,,,,,,"R$ 149.381.449,18","R$ 90,57","0,74","0,30%","-0,23%","0,08%","1,10%","53,00%","50,10%",6
2017-04-01,BBFI11B,FII BB PROGR,"Março/2017
			        
			        	23,6112
0,92%
2,77%
5,32%
10,51%
0,92%
0,89%
0,88%
1,21%
2,14%
4,79%
R$ 474.502.309,41
R$ 3.650,02
0,70
0,65%
0,03%
0,68%
7,34%


0","23,6112","0,92%","2,77%","5,32%","10,51%","0,92%","0,89%","0,88%","1,21%","2,14%","4,79%","R$ 474.502.309,41","R$ 3.650,02","0,70","0,65%","0,03%","0,68%","7,34%",,,0
2017-04-01,SPTW11,FII SP DOWNT,"Março/2017
			        
			        	0,5350
0,76%
2,46%
5,19%
12,73%
0,82%
0,87%
1,06%
10,47%
11,30%
16,88%
R$ 130.474.482,57
R$ 72,57
0,88
0,74%
-0,07%
0,67%
1,41%


0","0,5350","0,76%","2,46%","5,19%","12,73%","0,82%","0,87%","1,06%","10,47%","11,30%","16,88%","R$ 130.474.482,57","R$ 72,57","0,88","0,74%","-0,07%","0,67%","1,41%",,,0
2017-04-01,MBRF11,FII MERC BR,"Março/2017
			        
			        	7,7900
0,80%
2,45%
4,97%
10,57%
0,82%
0,83%
0,88%
3,61%
4,44%
10,84%
R$ 130.619.301,86
R$ 1.284,81
0,76
0,61%
0,03%
0,63%
1,88%
20,92%

3","7,7900","0,80%","2,45%","4,97%","10,57%","0,82%","0,83%","0,88%","3,61%","4,44%","10,84%","R$ 130.619.301,86","R$ 1.284,81","0,76","0,61%","0,03%","0,63%","1,88%","20,92%",,3
2017-04-01,RBCB11,FII RIOBRCIB,"Março/2017
			        
			        	4,0000
0,91%
2,74%
10,84%
31,65%
0,91%
1,81%
2,64%
-1,09%
-0,19%
-1,96%
R$ 19.768.186,91
R$ 372,28
1,18
1,07%
-16,93%
-16,03%
-15,98%


0","4,0000","0,91%","2,74%","10,84%","31,65%","0,91%","1,81%","2,64%","-1,09%","-0,19%","-1,96%","R$ 19.768.186,91","R$ 372,28","1,18","1,07%","-16,93%","-16,03%","-15,98%",,,0
2017-04-01,TBOF11,FII TBOFFICE,"Março/2017
			        
			        	0,2657
0,38%
1,14%
2,20%
4,34%
0,38%
0,37%
0,36%
0,32%
0,70%
11,07%
R$ 638.550.928,11
R$ 63,54
1,11
0,42%
0,02%
0,44%
1,80%
36,50%

1","0,2657","0,38%","1,14%","2,20%","4,34%","0,38%","0,37%","0,36%","0,32%","0,70%","11,07%","R$ 638.550.928,11","R$ 63,54","1,11","0,42%","0,02%","0,44%","1,80%","36,50%",,1
2017-04-01,PABY11,FII PANAMBY,"Março/2017
			        
			        	0,0000
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
11,78%
11,78%
20,52%
R$ 184.356.742,90
R$ 243,09
0,11
0,00%
-0,06%
-0,06%
-0,09%


0","0,0000","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","11,78%","11,78%","20,52%","R$ 184.356.742,90","R$ 243,09","0,11","0,00%","-0,06%","-0,06%","-0,09%",,,0
2017-04-01,FISD11,FII DOMINGOS,,,,,,,,,,,,,,,,,,,,,,0
2017-04-01,RNGO11,FII RIONEGRO,"Março/2017
			        
			        	0,6000
0,64%
2,03%
4,53%
9,99%
0,68%
0,76%
0,83%
2,45%
3,10%
12,78%
R$ 251.086.104,04
R$ 93,83
1,00
0,64%
-0,07%
0,57%
1,86%
15,60%

2","0,6000","0,64%","2,03%","4,53%","9,99%","0,68%","0,76%","0,83%","2,45%","3,10%","12,78%","R$ 251.086.104,04","R$ 93,83","1,00","0,64%","-0,07%","0,57%","1,86%","15,60%",,2
2017-04-01,HGCR11,FII CSHG CRI,"Março/2017
			        
			        	9,0000
0,86%
2,63%
5,69%
11,65%
0,88%
0,95%
0,97%
2,65%
3,53%
7,14%
R$ 108.055.241,05
R$ 1.031,96
1,02
0,87%
-0,12%
0,75%
3,76%


0","9,0000","0,86%","2,63%","5,69%","11,65%","0,88%","0,95%","0,97%","2,65%","3,53%","7,14%","R$ 108.055.241,05","R$ 1.031,96","1,02","0,87%","-0,12%","0,75%","3,76%",,,0
2017-04-01,DRIT11B,FII MTGESTAO,"Março/2017
			        
			        	1,0000
0,96%
2,05%
3,55%
7,82%
0,68%
0,59%
0,65%
0,27%
1,23%
5,69%
R$ 58.628.250,71
R$ 126,55
0,83
0,79%
-0,31%
0,48%
1,24%
16,60%
9,50%
6","1,0000","0,96%","2,05%","3,55%","7,82%","0,68%","0,59%","0,65%","0,27%","1,23%","5,69%","R$ 58.628.250,71","R$ 126,55","0,83","0,79%","-0,31%","0,48%","1,24%","16,60%","9,50%",6
2017-04-01,XPGA11,FII XP GAIA,"Março/2017
			        
			        	1,0000
1,00%
2,73%
6,27%
12,63%
0,91%
1,04%
1,05%
1,47%
2,49%
2,77%
R$ 108.344.558,97
R$ 103,08
0,97
0,97%
-6,50%
-5,59%
-4,16%


0","1,0000","1,00%","2,73%","6,27%","12,63%","0,91%","1,04%","1,05%","1,47%","2,49%","2,77%","R$ 108.344.558,97","R$ 103,08","0,97","0,97%","-6,50%","-5,59%","-4,16%",,,0
2017-04-01,CNES11B,FII CENESP,"Março/2017
			        
			        	0,3635
0,39%
1,21%
2,37%
6,21%
0,40%
0,40%
0,52%
-2,14%
-1,76%
-0,40%
R$ 293.600.964,36
R$ 99,55
0,95
0,37%
0,01%
0,38%
1,20%
34,80%

1","0,3635","0,39%","1,21%","2,37%","6,21%","0,40%","0,40%","0,52%","-2,14%","-1,76%","-0,40%","R$ 293.600.964,36","R$ 99,55","0,95","0,37%","0,01%","0,38%","1,20%","34,80%",,1
2017-04-01,CARE11,FII DEA CARE,"Janeiro/2017
			        
			        	0,0000
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
0,00%
R$ 49.301.134,91
R$ 1,28
1,31
0,00%
0,00%
0,00%
0,00%


0","0,0000","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","R$ 49.301.134,91","R$ 1,28","1,31","0,00%","0,00%","0,00%","0,00%",,,0
2017-04-01,FEXC11B,FII EXCELLEN,"Março/2017
			        
			        	0,7600
0,70%
2,22%
4,41%
10,65%
0,74%
0,74%
0,89%
1,08%
1,79%
4,90%
R$ 149.709.364,67
R$ 102,45
1,06
0,74%
1,20%
1,95%
3,46%


0","0,7600","0,70%","2,22%","4,41%","10,65%","0,74%","0,74%","0,89%","1,08%","1,79%","4,90%","R$ 149.709.364,67","R$ 102,45","1,06","0,74%","1,20%","1,95%","3,46%",,,0
2017-04-01,FCFL11B,FII CAMPUSFL,"Março/2017
			        
			        	11,4905
0,59%
1,83%
3,68%
7,67%
0,61%
0,61%
0,64%
7,39%
8,02%
13,98%
R$ 243.052.572,34
R$ 1.455,40
1,34
0,79%
0,00%
0,79%
2,37%
0,00%

1","11,4905","0,59%","1,83%","3,68%","7,67%","0,61%","0,61%","0,64%","7,39%","8,02%","13,98%","R$ 243.052.572,34","R$ 1.455,40","1,34","0,79%","0,00%","0,79%","2,37%","0,00%",,1
2017-04-01,XPCM11,FII XP MACAE,"Março/2017
			        
			        	0,7800
0,92%
2,71%
5,46%
12,66%
0,90%
0,91%
1,05%
-0,12%
0,80%
-4,35%
R$ 188.422.682,21
R$ 78,04
1,08
1,00%
0,14%
1,14%
3,26%
0,00%
0,00%
1","0,7800","0,92%","2,71%","5,46%","12,66%","0,90%","0,91%","1,05%","-0,12%","0,80%","-4,35%","R$ 188.422.682,21","R$ 78,04","1,08","1,00%","0,14%","1,14%","3,26%","0,00%","0,00%",1
2017-04-01,WMRB11B,FII WM RBCAP,"Março/2017
			        
			        	5,0475
1,22%
1,75%
2,95%
5,76%
0,58%
0,49%
0,48%
-0,32%
0,89%
5,46%
R$ 28.485.177,87
R$ 431,04
0,96
1,17%
0,59%
1,76%
2,84%


0","5,0475","1,22%","1,75%","2,95%","5,76%","0,58%","0,49%","0,48%","-0,32%","0,89%","5,46%","R$ 28.485.177,87","R$ 431,04","0,96","1,17%","0,59%","1,76%","2,84%",,,0
2017-04-01,EDGA11B,FII GALERIA,"Março/2017
			        
			        	0,1236
0,21%
1,10%
2,92%
7,25%
0,37%
0,49%
0,60%
5,51%
5,74%
7,10%
R$ 319.222.796,95
R$ 83,74
0,69
0,15%
0,01%
0,15%
0,75%
32,09%

1","0,1236","0,21%","1,10%","2,92%","7,25%","0,37%","0,49%","0,60%","5,51%","5,74%","7,10%","R$ 319.222.796,95","R$ 83,74","0,69","0,15%","0,01%","0,15%","0,75%","32,09%",,1
2017-04-01,CBOP11,FII C BRANCO,"Março/2017
			        
			        	4,9000
0,67%
2,07%
4,41%
9,35%
0,69%
0,73%
0,78%
0,90%
1,58%
10,24%
R$ 103.898.139,98
R$ 734,26
1,00
0,67%
0,04%
0,71%
2,06%
7,00%

1","4,9000","0,67%","2,07%","4,41%","9,35%","0,69%","0,73%","0,78%","0,90%","1,58%","10,24%","R$ 103.898.139,98","R$ 734,26","1,00","0,67%","0,04%","0,71%","2,06%","7,00%",,1
2017-04-01,HCRI11B,FII CRIANCA,"Março/2017
			        
			        	2,3007
0,75%
2,35%
5,16%
10,43%
0,78%
0,86%
0,87%
1,68%
2,45%
8,89%
R$ 59.620.363,76
R$ 298,10
1,02
0,77%
0,01%
0,78%
2,38%
0,00%

1","2,3007","0,75%","2,35%","5,16%","10,43%","0,78%","0,86%","0,87%","1,68%","2,45%","8,89%","R$ 59.620.363,76","R$ 298,10","1,02","0,77%","0,01%","0,78%","2,38%","0,00%",,1
2017-04-01,PRSV11,FII P VARGAS,"Fevereiro/2017
			        
			        	1,7500
0,36%
1,14%
2,57%
6,40%
0,38%
0,43%
0,53%
0,96%
1,32%
1,71%
R$ 126.146.660,26
R$ 646,91
0,76
0,27%
0,00%
0,27%
0,55%


2","1,7500","0,36%","1,14%","2,57%","6,40%","0,38%","0,43%","0,53%","0,96%","1,32%","1,71%","R$ 126.146.660,26","R$ 646,91","0,76","0,27%","0,00%","0,27%","0,55%",,,2
2017-04-01,JRDM11B,FII SHOPJSUL,"Fevereiro/2017
			        
			        	0,5058
0,63%
2,34%
4,63%
11,42%
0,78%
0,77%
0,95%
8,23%
8,92%
9,63%
R$ 185.947.549,43
R$ 83,64
0,96
0,60%
-0,08%
0,52%
1,11%
1,04%

0","0,5058","0,63%","2,34%","4,63%","11,42%","0,78%","0,77%","0,95%","8,23%","8,92%","9,63%","R$ 185.947.549,43","R$ 83,64","0,96","0,60%","-0,08%","0,52%","1,11%","1,04%",,0
2017-04-01,WPLZ11B,FII W PLAZA,"Janeiro/2017
			        
			        	0,3032
0,41%
1,22%
2,10%
3,52%
0,41%
0,35%
0,29%
0,00%
0,41%
0,41%
R$ 78.354.682,34
R$ 79,20
0,94
0,38%
0,00%
0,38%
0,38%
6,00%

0","0,3032","0,41%","1,22%","2,10%","3,52%","0,41%","0,35%","0,29%","0,00%","0,41%","0,41%","R$ 78.354.682,34","R$ 79,20","0,94","0,38%","0,00%","0,38%","0,38%","6,00%",,0
2017-04-01,ATSA11B,FII CSHGATSA,"Março/2017
			        
			        	0,0000
0,00%
0,00%
0,00%
0,30%
0,00%
0,00%
0,02%
-2,78%
-2,78%
-0,18%
R$ 230.479.091,11
R$ 1.343,74
0,76
0,00%
0,53%
0,53%
0,58%
24,41%

1","0,0000","0,00%","0,00%","0,00%","0,30%","0,00%","0,00%","0,02%","-2,78%","-2,78%","-0,18%","R$ 230.479.091,11","R$ 1.343,74","0,76","0,00%","0,53%","0,53%","0,58%","24,41%",,1
2017-04-01,BMLC11B,FII BMBRC LC,"Março/2017
			        
			        	0,4537
0,52%
1,61%
3,78%
8,76%
0,54%
0,63%
0,73%
0,50%
1,02%
2,07%
R$ 103.820.289,10
R$ 103,99
0,83
0,44%
0,03%
0,47%
1,40%
22,80%

2","0,4537","0,52%","1,61%","3,78%","8,76%","0,54%","0,63%","0,73%","0,50%","1,02%","2,07%","R$ 103.820.289,10","R$ 103,99","0,83","0,44%","0,03%","0,47%","1,40%","22,80%",,2
2017-04-01,HTMX11B,FII HOTEL MX,"Março/2017
			        
			        	0,2658
0,20%
0,60%
1,65%
5,31%
0,20%
0,27%
0,44%
8,47%
8,69%
11,15%
R$ 154.678.778,77
R$ 138,23
0,95
0,19%
0,15%
0,34%
1,57%
48,00%

0","0,2658","0,20%","0,60%","1,65%","5,31%","0,20%","0,27%","0,44%","8,47%","8,69%","11,15%","R$ 154.678.778,77","R$ 138,23","0,95","0,19%","0,15%","0,34%","1,57%","48,00%",,0
2017-04-01,VRTA11,FII FATOR VE,"Março/2017
			        
			        	1,0300
0,83%
2,60%
5,57%
12,91%
0,87%
0,93%
1,08%
-0,63%
0,19%
4,65%
R$ 176.257.878,49
R$ 104,02
1,19
0,99%
0,45%
1,44%
4,70%


0","1,0300","0,83%","2,60%","5,57%","12,91%","0,87%","0,93%","1,08%","-0,63%","0,19%","4,65%","R$ 176.257.878,49","R$ 104,02","1,19","0,99%","0,45%","1,44%","4,70%",,,0
2017-04-01,EDFO11B,FII OURINVES,"Março/2017
			        
			        	1,7804
0,63%
1,93%
3,89%
8,74%
0,64%
0,65%
0,73%
3,65%
4,31%
5,57%
R$ 37.704.361,73
R$ 159,76
1,76
1,11%
0,03%
1,15%
3,43%


0","1,7804","0,63%","1,93%","3,89%","8,74%","0,64%","0,65%","0,73%","3,65%","4,31%","5,57%","R$ 37.704.361,73","R$ 159,76","1,76","1,11%","0,03%","1,15%","3,43%",,,0
2017-04-01,CXCE11B,FII CX CEDAE,"Março/2017
			        
			        	18,4642
0,80%
2,36%
4,77%
9,84%
0,79%
0,79%
0,82%
-0,12%
0,67%
0,23%
R$ 154.616.140,32
R$ 2.256,58
1,02
0,82%
0,04%
0,86%
2,54%


0","18,4642","0,80%","2,36%","4,77%","9,84%","0,79%","0,79%","0,82%","-0,12%","0,67%","0,23%","R$ 154.616.140,32","R$ 2.256,58","1,02","0,82%","0,04%","0,86%","2,54%",,,0
2017-04-01,CXTL11,FII CX TRX,"Março/2017
			        
			        	4,3651
0,71%
2,68%
4,92%
10,28%
0,89%
0,82%
0,86%
1,10%
1,82%
16,45%
R$ 53.416.963,85
R$ 996,64
0,61
0,44%
-0,02%
0,42%
1,59%


0","4,3651","0,71%","2,68%","4,92%","10,28%","0,89%","0,82%","0,86%","1,10%","1,82%","16,45%","R$ 53.416.963,85","R$ 996,64","0,61","0,44%","-0,02%","0,42%","1,59%",,,0
2017-04-01,RBBV11,FII JHSF FBV,"Março/2017
			        
			        	0,4212
0,58%
1,75%
2,90%
8,59%
0,58%
0,48%
0,72%
1,32%
1,90%
4,92%
R$ 125.836.106,82
R$ 100,33
0,73
0,42%
-0,05%
0,37%
1,29%


0","0,4212","0,58%","1,75%","2,90%","8,59%","0,58%","0,48%","0,72%","1,32%","1,90%","4,92%","R$ 125.836.106,82","R$ 100,33","0,73","0,42%","-0,05%","0,37%","1,29%",,,0
2017-04-01,JSRE11,FII JS REAL,"Março/2017
			        
			        	0,8300
0,87%
2,73%
5,39%
11,41%
0,91%
0,90%
0,95%
2,58%
3,47%
2,31%
R$ 707.009.365,78
R$ 109,56
0,87
0,76%
0,40%
1,16%
3,71%
54,00%

1","0,8300","0,87%","2,73%","5,39%","11,41%","0,91%","0,90%","0,95%","2,58%","3,47%","2,31%","R$ 707.009.365,78","R$ 109,56","0,87","0,76%","0,40%","1,16%","3,71%","54,00%",,1
2017-04-01,RBGS11,FII RB GSB I,"Março/2017
			        
			        	0,2177
0,50%
2,39%
5,26%
21,41%
0,80%
0,88%
1,78%
19,76%
20,36%
27,11%
R$ 99.424.812,92
R$ 92,23
0,47
0,24%
0,22%
0,45%
1,20%
17,60%

1","0,2177","0,50%","2,39%","5,26%","21,41%","0,80%","0,88%","1,78%","19,76%","20,36%","27,11%","R$ 99.424.812,92","R$ 92,23","0,47","0,24%","0,22%","0,45%","1,20%","17,60%",,1
2017-04-01,FFCI11,FII RIOB RC,"Março/2017
			        
			        	0,0110
0,62%
1,94%
3,99%
8,55%
0,65%
0,67%
0,71%
4,95%
5,60%
11,32%
R$ 247.135.895,70
R$ 1,78
1,00
0,62%
0,07%
0,68%
2,08%
6,80%
5,10%
8","0,0110","0,62%","1,94%","3,99%","8,55%","0,65%","0,67%","0,71%","4,95%","5,60%","11,32%","R$ 247.135.895,70","R$ 1,78","1,00","0,62%","0,07%","0,68%","2,08%","6,80%","5,10%",8
2017-04-01,KNRE11,FII KII REAL,"Março/2017
			        
			        	0,0000
0,00%
0,00%
0,48%
0,93%
0,00%
0,08%
0,08%
0,00%
0,00%
0,00%
R$ 242.861.257,30
R$ 1,31
0,84
0,00%
0,52%
0,52%
2,96%


0","0,0000","0,00%","0,00%","0,48%","0,93%","0,00%","0,08%","0,08%","0,00%","0,00%","0,00%","R$ 242.861.257,30","R$ 1,31","0,84","0,00%","0,52%","0,52%","2,96%",,,0
2017-04-01,MXRF11,FII MAXI REN,"Março/2017
			        
			        	0,9000
0,94%
2,70%
5,49%
11,81%
0,90%
0,92%
0,98%
3,94%
4,92%
8,67%
R$ 242.332.349,80
R$ 105,37
0,91
0,85%
-5,34%
-4,53%
-2,19%


0","0,9000","0,94%","2,70%","5,49%","11,81%","0,90%","0,92%","0,98%","3,94%","4,92%","8,67%","R$ 242.332.349,80","R$ 105,37","0,91","0,85%","-5,34%","-4,53%","-2,19%",,,0
2017-04-01,BPFF11,FII ABSOLUTO,"Março/2017
			        
			        	0,6700
0,72%
2,29%
4,89%
10,46%
0,76%
0,82%
0,87%
2,27%
3,01%
15,81%
R$ 185.189.774,41
R$ 92,59
1,00
0,72%
-0,79%
-0,07%
7,01%


0","0,6700","0,72%","2,29%","4,89%","10,46%","0,76%","0,82%","0,87%","2,27%","3,01%","15,81%","R$ 185.189.774,41","R$ 92,59","1,00","0,72%","-0,79%","-0,07%","7,01%",,,0
2017-04-01,FIIB11,FII INDL BR,"Fevereiro/2017
			        
			        	2,2700
0,64%
2,04%
4,80%
9,92%
0,68%
0,80%
0,83%
1,83%
2,49%
3,15%
R$ 238.885.199,32
R$ 348,74
1,01
0,65%
0,05%
0,70%
1,35%
9,72%

1","2,2700","0,64%","2,04%","4,80%","9,92%","0,68%","0,80%","0,83%","1,83%","2,49%","3,15%","R$ 238.885.199,32","R$ 348,74","1,01","0,65%","0,05%","0,70%","1,35%","9,72%",,1
2017-04-01,RBVO11,FII RIOBCRI2,"Março/2017
			        
			        	0,4000
0,46%
1,40%
5,31%
10,56%
0,47%
0,88%
0,88%
0,33%
0,79%
0,19%
R$ 46.538.725,25
R$ 90,22
0,97
0,44%
1,13%
1,58%
2,07%


0","0,4000","0,46%","1,40%","5,31%","10,56%","0,47%","0,88%","0,88%","0,33%","0,79%","0,19%","R$ 46.538.725,25","R$ 90,22","0,97","0,44%","1,13%","1,58%","2,07%",,,0
2017-04-01,SDIL11,FII SDI LOG,"Março/2017
			        
			        	0,5200
0,57%
1,75%
4,49%
9,58%
0,58%
0,75%
0,80%
1,58%
2,15%
10,21%
R$ 139.279.346,53
R$ 96,80
0,95
0,54%
0,07%
0,60%
1,70%
19,00%
20,00%
1","0,5200","0,57%","1,75%","4,49%","9,58%","0,58%","0,75%","0,80%","1,58%","2,15%","10,21%","R$ 139.279.346,53","R$ 96,80","0,95","0,54%","0,07%","0,60%","1,70%","19,00%","20,00%",1
2017-04-01,FIIP11B,FII RB CAP I,"Março/2017
			        
			        	1,2629
0,70%
3,52%
5,94%
11,32%
1,17%
0,99%
0,94%
6,49%
7,23%
6,94%
R$ 157.131.820,88
R$ 169,48
1,06
0,75%
0,24%
0,99%
2,69%


0","1,2629","0,70%","3,52%","5,94%","11,32%","1,17%","0,99%","0,94%","6,49%","7,23%","6,94%","R$ 157.131.820,88","R$ 169,48","1,06","0,75%","0,24%","0,99%","2,69%",,,0
2017-04-01,CTXT11,FII C TEXTIL,"Março/2017
			        
			        	0,0358
0,88%
2,55%
5,21%
10,84%
0,85%
0,87%
0,90%
2,05%
2,95%
10,09%
R$ 122.686.041,93
R$ 3,38
1,21
1,06%
0,13%
1,19%
3,29%
3,80%

1","0,0358","0,88%","2,55%","5,21%","10,84%","0,85%","0,87%","0,90%","2,05%","2,95%","10,09%","R$ 122.686.041,93","R$ 3,38","1,21","1,06%","0,13%","1,19%","3,29%","3,80%",,1
2017-04-01,RBDS11,FII RBRESID2,"Março/2017
			        
			        	0,5491
0,14%
0,32%
2,09%
22,22%
0,11%
0,35%
1,85%
-4,57%
-4,44%
-3,90%
R$ 88.899.116,37
R$ 702,63
0,60
0,06%
36,25%
36,32%
36,42%


0","0,5491","0,14%","0,32%","2,09%","22,22%","0,11%","0,35%","1,85%","-4,57%","-4,44%","-3,90%","R$ 88.899.116,37","R$ 702,63","0,60","0,06%","36,25%","36,32%","36,42%",,,0
